clip_id,source_dataset,split,source_label_folder,source_binary_label,core_label,source_file_name,source_video_path,clip_path,event_center_time,video_duration,clip_start_time,clip_end_time,clip_duration,center_offset_in_clip,time_of_event,time_of_alert,light_conditions,weather,scene,time_to_accident,status,error,manual_label
nexar_train_positive_00018,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00018.mp4,data/nexar_collision_prediction/train/positive/00018.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00018.mp4,20.683,40.633,15.683,25.683,10,5,20.683,20.367,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00019,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00019.mp4,data/nexar_collision_prediction/train/positive/00019.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00019.mp4,19.896,40.065,14.896,24.896,10,5,19.896,19.341,Bright,Clear,Urban,,exists,,collision
nexar_train_positive_00021,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00021.mp4,data/nexar_collision_prediction/train/positive/00021.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00021.mp4,20.033,39.967,15.033,25.033,10,5,20.033,18.767,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00022,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00022.mp4,data/nexar_collision_prediction/train/positive/00022.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00022.mp4,19.433,40.433,14.433,24.433,10,5,19.433,18.267,Normal,Cloudy,Highway,,exists,,collision
nexar_train_positive_00023,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00023.mp4,data/nexar_collision_prediction/train/positive/00023.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00023.mp4,19.9,40.567,14.9,24.9,10,5,19.9,18.967,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00024,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00024.mp4,data/nexar_collision_prediction/train/positive/00024.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00024.mp4,20.533,40.033,15.533,25.533,10,5,20.533,19.567,Normal,Clear,Urban,,exists,,near_miss
nexar_train_positive_00025,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00025.mp4,data/nexar_collision_prediction/train/positive/00025.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00025.mp4,20.033,40.133,15.033,25.033,10,5,20.033,18.467,Normal,Rain,Urban,,exists,,near_miss
nexar_train_positive_00026,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00026.mp4,data/nexar_collision_prediction/train/positive/00026.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00026.mp4,9.796,18,4.796,14.796,10,5,9.796,6.997,Normal,Cloudy,Highway,,exists,,collision
nexar_train_positive_00027,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00027.mp4,data/nexar_collision_prediction/train/positive/00027.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00027.mp4,19.567,40,14.567,24.567,10,5,19.567,17.8,Normal,Clear,Urban,,exists,,near_miss
nexar_train_positive_00028,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00028.mp4,data/nexar_collision_prediction/train/positive/00028.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00028.mp4,19.929,40.033,14.929,24.929,10,5,19.929,17.74,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00029,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00029.mp4,data/nexar_collision_prediction/train/positive/00029.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00029.mp4,19.933,40.067,14.933,24.933,10,5,19.933,19.1,Normal,Clear,Highway,,exists,,collision
nexar_train_positive_00031,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00031.mp4,data/nexar_collision_prediction/train/positive/00031.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00031.mp4,19.1,40.067,14.1,24.1,10,5,19.1,17.733,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00032,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00032.mp4,data/nexar_collision_prediction/train/positive/00032.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00032.mp4,19.533,40.067,14.533,24.533,10,5,19.533,19.233,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00036,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00036.mp4,data/nexar_collision_prediction/train/positive/00036.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00036.mp4,22.174,39.801,17.174,27.174,10,5,22.174,21.412,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00037,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00037.mp4,data/nexar_collision_prediction/train/positive/00037.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00037.mp4,20.533,40.2,15.533,25.533,10,5,20.533,19.633,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00039,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00039.mp4,data/nexar_collision_prediction/train/positive/00039.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00039.mp4,19.067,40.5,14.067,24.067,10,5,19.067,17.6,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00040,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00040.mp4,data/nexar_collision_prediction/train/positive/00040.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00040.mp4,18.433,38.967,13.433,23.433,10,5,18.433,17.4,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00041,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00041.mp4,data/nexar_collision_prediction/train/positive/00041.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00041.mp4,20.167,38.367,15.167,25.167,10,5,20.167,18.5,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00042,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00042.mp4,data/nexar_collision_prediction/train/positive/00042.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00042.mp4,19.465,40.196,14.465,24.465,10,5,19.465,17.766,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00043,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00043.mp4,data/nexar_collision_prediction/train/positive/00043.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00043.mp4,9.263,18,4.263,14.263,10,5,9.263,8.863,Normal,Clear,Highway,,exists,,collision
nexar_train_positive_00044,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00044.mp4,data/nexar_collision_prediction/train/positive/00044.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00044.mp4,20.1,40.1,15.1,25.1,10,5,20.1,19.333,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00046,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00046.mp4,data/nexar_collision_prediction/train/positive/00046.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00046.mp4,19.933,40.1,14.933,24.933,10,5,19.933,17.7,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00047,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00047.mp4,data/nexar_collision_prediction/train/positive/00047.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00047.mp4,19.567,40.433,14.567,24.567,10,5,19.567,18.4,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00048,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00048.mp4,data/nexar_collision_prediction/train/positive/00048.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00048.mp4,9.863,19,4.863,14.863,10,5,9.863,9.496,Twilight,Cloudy,Urban,,exists,,collision
nexar_train_positive_00049,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00049.mp4,data/nexar_collision_prediction/train/positive/00049.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00049.mp4,19.399,39.498,14.399,24.399,10,5,19.399,18.264,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00054,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00054.mp4,data/nexar_collision_prediction/train/positive/00054.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00054.mp4,19.3,40.3,14.3,24.3,10,5,19.3,17.767,Twilight,Clear,Urban,,exists,,collision
nexar_train_positive_00055,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00055.mp4,data/nexar_collision_prediction/train/positive/00055.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00055.mp4,19.133,40.633,14.133,24.133,10,5,19.133,17.8,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00056,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00056.mp4,data/nexar_collision_prediction/train/positive/00056.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00056.mp4,19.4,40.367,14.4,24.4,10,5,19.4,18.9,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00057,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00057.mp4,data/nexar_collision_prediction/train/positive/00057.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00057.mp4,20.317,40.533,15.317,25.317,10,5,20.317,19.133,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00058,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00058.mp4,data/nexar_collision_prediction/train/positive/00058.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00058.mp4,19.149,39.248,14.149,24.149,10,5,19.149,18.071,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00059,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00059.mp4,data/nexar_collision_prediction/train/positive/00059.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00059.mp4,18.933,40.033,13.933,23.933,10,5,18.933,18.6,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00060,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00060.mp4,data/nexar_collision_prediction/train/positive/00060.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00060.mp4,19.859,40.131,14.859,24.859,10,5,19.859,17.279,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00061,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00061.mp4,data/nexar_collision_prediction/train/positive/00061.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00061.mp4,18.833,40.267,13.833,23.833,10,5,18.833,16.733,Normal,Clear,Urban,,exists,,near_miss
nexar_train_positive_00062,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00062.mp4,data/nexar_collision_prediction/train/positive/00062.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00062.mp4,18.867,40.067,13.867,23.867,10,5,18.867,17.8,Normal,Clear,Sub-urban,,exists,,collision
nexar_train_positive_00063,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00063.mp4,data/nexar_collision_prediction/train/positive/00063.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00063.mp4,19.55,40.033,14.55,24.55,10,5,19.55,17.8,Normal,Cloudy,Urban,,exists,,near_miss
nexar_train_positive_00064,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00064.mp4,data/nexar_collision_prediction/train/positive/00064.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00064.mp4,8.167,18,3.167,13.167,10,5,8.167,7.567,Dark,Clear,Highway,,exists,,near_miss
nexar_train_positive_00065,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00065.mp4,data/nexar_collision_prediction/train/positive/00065.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00065.mp4,19,40.133,14,24,10,5,19,17.567,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00066,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00066.mp4,data/nexar_collision_prediction/train/positive/00066.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00066.mp4,21.722,42.241,16.722,26.722,10,5,21.722,20.787,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00068,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00068.mp4,data/nexar_collision_prediction/train/positive/00068.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00068.mp4,19.9,40.267,14.9,24.9,10,5,19.9,16.733,Normal,Cloudy,Urban,,exists,,near_miss
nexar_train_positive_00071,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00071.mp4,data/nexar_collision_prediction/train/positive/00071.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00071.mp4,19.833,40.3,14.833,24.833,10,5,19.833,18.933,Normal,,Urban,,exists,,near_miss
nexar_train_positive_00072,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00072.mp4,data/nexar_collision_prediction/train/positive/00072.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00072.mp4,20.101,40.393,15.101,25.101,10,5,20.101,20.068,Normal,Clear,Urban,,exists,,near_miss
nexar_train_positive_00074,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00074.mp4,data/nexar_collision_prediction/train/positive/00074.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00074.mp4,20.233,40.2,15.233,25.233,10,5,20.233,18.967,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00076,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00076.mp4,data/nexar_collision_prediction/train/positive/00076.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00076.mp4,19.9,39.633,14.9,24.9,10,5,19.9,17.8,Normal,Clear,Urban,,exists,,near_miss
nexar_train_positive_00077,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00077.mp4,data/nexar_collision_prediction/train/positive/00077.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00077.mp4,19.964,40.741,14.964,24.964,10,5,19.964,17.645,Normal,Cloudy,Highway,,exists,,collision
nexar_train_positive_00078,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00078.mp4,data/nexar_collision_prediction/train/positive/00078.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00078.mp4,18.933,39.4,13.933,23.933,10,5,18.933,18,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00079,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00079.mp4,data/nexar_collision_prediction/train/positive/00079.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00079.mp4,20.3,40.167,15.3,25.3,10,5,20.3,19.3,Normal,Clear,Urban,,exists,,near_miss
nexar_train_positive_00081,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00081.mp4,data/nexar_collision_prediction/train/positive/00081.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00081.mp4,18.667,38.733,13.667,23.667,10,5,18.667,18.533,Normal,Cloudy,Rural,,exists,,collision
nexar_train_positive_00082,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00082.mp4,data/nexar_collision_prediction/train/positive/00082.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00082.mp4,20.167,40.067,15.167,25.167,10,5,20.167,17.433,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00083,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00083.mp4,data/nexar_collision_prediction/train/positive/00083.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00083.mp4,10.697,18,5.697,15.697,10,5,10.697,8.398,Normal,Cloudy,Highway,,exists,,collision
nexar_train_positive_00084,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00084.mp4,data/nexar_collision_prediction/train/positive/00084.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00084.mp4,20.354,40.065,15.354,25.354,10,5,20.354,18.46,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00085,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00085.mp4,data/nexar_collision_prediction/train/positive/00085.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00085.mp4,18.967,40.233,13.967,23.967,10,5,18.967,18.567,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00086,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00086.mp4,data/nexar_collision_prediction/train/positive/00086.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00086.mp4,19.4,40.1,14.4,24.4,10,5,19.4,15.9,Normal,Cloudy,Highway,,exists,,collision
nexar_train_positive_00089,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00089.mp4,data/nexar_collision_prediction/train/positive/00089.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00089.mp4,20.367,40.201,15.367,25.367,10,5,20.367,19.299,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00090,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00090.mp4,data/nexar_collision_prediction/train/positive/00090.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00090.mp4,19.267,40.2,14.267,24.267,10,5,19.267,18.333,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00093,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00093.mp4,data/nexar_collision_prediction/train/positive/00093.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00093.mp4,9.933,18,4.933,14.933,10,5,9.933,7.533,Dark,Snow,Highway,,exists,,collision
nexar_train_positive_00095,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00095.mp4,data/nexar_collision_prediction/train/positive/00095.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00095.mp4,9.531,18,4.531,14.531,10,5,9.531,8.831,Normal,Clear,Highway,,exists,,collision
nexar_train_positive_00096,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00096.mp4,data/nexar_collision_prediction/train/positive/00096.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00096.mp4,20.487,41.423,15.487,25.487,10,5,20.487,19.699,Normal,Cloudy,Highway,,exists,,collision
nexar_train_positive_00097,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00097.mp4,data/nexar_collision_prediction/train/positive/00097.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00097.mp4,19.949,40.436,14.949,24.949,10,5,19.949,19.916,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00098,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00098.mp4,data/nexar_collision_prediction/train/positive/00098.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00098.mp4,19.11,40.098,14.11,24.11,10,5,19.11,16.823,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00099,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00099.mp4,data/nexar_collision_prediction/train/positive/00099.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00099.mp4,17.006,40.852,12.006,22.006,10,5,17.006,15.959,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00100,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00100.mp4,data/nexar_collision_prediction/train/positive/00100.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00100.mp4,18.467,38.767,13.467,23.467,10,5,18.467,17.233,Normal,Cloudy,Urban,,exists,,near_miss
nexar_train_positive_00102,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00102.mp4,data/nexar_collision_prediction/train/positive/00102.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00102.mp4,18.067,39.133,13.067,23.067,10,5,18.067,16.833,Normal,Cloudy,Sub-urban,,exists,,collision
nexar_train_positive_00103,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00103.mp4,data/nexar_collision_prediction/train/positive/00103.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00103.mp4,20.467,39.933,15.467,25.467,10,5,20.467,19.4,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00104,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00104.mp4,data/nexar_collision_prediction/train/positive/00104.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00104.mp4,20.783,40.033,15.783,25.783,10,5,20.783,20.133,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00105,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00105.mp4,data/nexar_collision_prediction/train/positive/00105.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00105.mp4,20.1,40.567,15.1,25.1,10,5,20.1,19.267,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00106,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00106.mp4,data/nexar_collision_prediction/train/positive/00106.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00106.mp4,18.1,39.467,13.1,23.1,10,5,18.1,16.9,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00108,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00108.mp4,data/nexar_collision_prediction/train/positive/00108.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00108.mp4,19.3,40.267,14.3,24.3,10,5,19.3,18.233,Dark,Clear,Urban,,exists,,collision
nexar_train_positive_00109,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00109.mp4,data/nexar_collision_prediction/train/positive/00109.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00109.mp4,20.133,40.067,15.133,25.133,10,5,20.133,16.167,Normal,Cloudy,Highway,,exists,,near_miss
nexar_train_positive_00110,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00110.mp4,data/nexar_collision_prediction/train/positive/00110.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00110.mp4,19.164,40.167,14.164,24.164,10,5,19.164,16.087,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00111,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00111.mp4,data/nexar_collision_prediction/train/positive/00111.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00111.mp4,19.783,40.133,14.783,24.783,10,5,19.783,18.167,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00112,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00112.mp4,data/nexar_collision_prediction/train/positive/00112.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00112.mp4,18.967,40.1,13.967,23.967,10,5,18.967,17.433,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00114,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00114.mp4,data/nexar_collision_prediction/train/positive/00114.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00114.mp4,20,40.333,15,25,10,5,20,18.367,Normal,Rain,Urban,,exists,,collision
nexar_train_positive_00117,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00117.mp4,data/nexar_collision_prediction/train/positive/00117.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00117.mp4,19.133,39.367,14.133,24.133,10,5,19.133,18.967,Normal,Clear,Highway,,exists,,collision
