row_id,source_dataset,source_event_type,source_row_index,video_id,source_url,source_file_name,source_video_path,clip_path,original_time_range,event_start_time,event_end_time,event_center_time,time_of_event,time_of_alert,manual_label,event_label,core_label,source_binary_label,light_conditions,weather,scene,status,error,saved_raw_URL,saved_raw_Time,saved_raw_Location_of_crash,saved_raw_Light_condition,saved_raw_Weather,saved_raw_Road_surface_condition,saved_raw_Road_type,saved_raw_Road_flat,saved_raw_Lanes,saved_raw_Traffic_condition,saved_raw_Ego_vehicle_model,saved_raw_ADAS_mode,saved_raw_Ego_pre_movement,saved_raw_Other_pre_movement,saved_raw_Ego_pre_avoid_seconds,saved_raw_Other_pre_avoid_seconds,saved_raw_Ego_pre_avoid_movement,saved_raw_Other_pre_avoid_movement,saved_raw_Guilty,saved_raw_Crash_type,saved_raw_Type_of_impact,saved_raw_Crash_with,saved_raw_Crash_vehicle_type,saved_raw_Total_number_of_vehicles,saved_raw_Crash_reason,saved_raw_Ego_most_damaged_area,saved_raw_Other_most_damaged_area,saved_raw_Crash_severity,saved_raw_Ego_fix_fee,saved_raw_Note,saved_raw_time,saved_raw_Takeover_time_for_ADAS,saved_raw_Ego_pre_reaction_seconds,saved_raw_Other_pre_reaction_seconds,saved_raw_Avoid_reason,saved_raw_
saved_crash_000010,saved_av_dataset,crash,10,02pOwN9GmzM,https://www.youtube.com/watch?v=02pOwN9GmzM,02pOwN9GmzM.mp4,,,6:16-6:33,376.0,393.0,384.5,384.5,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Urban,metadata_only,,https://www.youtube.com/watch?v=02pOwN9GmzM,6:16-6:33,austria,Dark_lighted,Clear,Wet,Signalized_intersection,Flat,3,Light_traffic,N/A,ADAS,Proceeding_straight,Making_left_turn,,,No_action,No_action,No,Angle,Front_to_side,Vehicle,Small_vehicle,2,Running_red_light,Front_center_bumper,Right_front_door,Property_damage_only,16000,n,,,,,,
saved_crash_000011,saved_av_dataset,crash,11,02pOwN9GmzM,https://www.youtube.com/watch?v=02pOwN9GmzM&t=381s,02pOwN9GmzM.mp4,,,7:51-8:02,471.0,482.0,476.5,476.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://www.youtube.com/watch?v=02pOwN9GmzM&t=381s,7:51-8:02,washington,Daylight,Clear,Dry,Road_segement,Flat,1,Light_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,4.4,No_action,Left_turn,No,Rear_end,Front_to_rear,Vehicle,Small_vehicle,2,Following_too_closely,Rear_center_bumper,Front_right_bumper,Property_damage_only,idk,n,,,,,,
saved_crash_000012,saved_av_dataset,crash,12,02pOwN9GmzM,https://youtu.be/02pOwN9GmzM,02pOwN9GmzM.mp4,,,8:21-8:55,501.0,535.0,518.0,518.0,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Urban,metadata_only,,https://youtu.be/02pOwN9GmzM,8:21-8:55,texas,Dark_lighted,Clear,Dry,Signalized_intersection,Flat,5,Red_light_stopped,Small_vehicle,ADAS,Stopped,Proceeding_straight,,,No_action,No_action,No,Rear_end,Front_to_rear,Vehicle,Small_vehicle,2,Following_too_closely,Rear_center_bumper,Front_center_bumper,Property_damage_only,4000,n,,,,,,
saved_crash_000013,saved_av_dataset,crash,13,02pOwN9GmzM,https://youtu.be/02pOwN9GmzM,02pOwN9GmzM.mp4,,,9:34-9:54,574.0,594.0,584.0,584.0,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Urban,metadata_only,,https://youtu.be/02pOwN9GmzM,9:34-9:54,south carolina,Dark_lighted,Clear,Dry,Signalized_intersection,Flat,2,Light_traffic,Middle_vehicle,ADAS,Proceeding_straight,Making_right_turn,,,No_action,No_action,No,Head_on,Front_to_front,Vehicle,Small_vehicle,2,Wrong_way_driving,Left_front_fender,Front_left_bumper,Property_damage_only,idk,n,,,,,,
saved_crash_000014,saved_av_dataset,crash,14,02pOwN9GmzM,https://youtu.be/02pOwN9GmzM,02pOwN9GmzM.mp4,,,11:36-12:07,696.0,727.0,711.5,711.5,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Other,metadata_only,,https://youtu.be/02pOwN9GmzM,11:36-12:07,california,Dark_lighted,Clear,Dry,Highway/Freeway,Flat,5,Congested,N/A,ADAS,Stopped,Stopped,,,No_action,No_action,No,Rear_end,Front_to_rear,Vehicle,Small_vehicle,3,Following_too_closely,Rear_center_bumper,Front_center_bumper,Property_damage_only,idk,n,,,,,,
saved_crash_000015,saved_av_dataset,crash,15,ayJwRebjSZ4,https://youtu.be/ayJwRebjSZ4,ayJwRebjSZ4.mp4,,,2:52-3:09,172.0,189.0,180.5,180.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Urban,metadata_only,,https://youtu.be/ayJwRebjSZ4,2:52-3:09,minnesota,Daylight,Clear,Dry,nonSignalized_intersection,Flat,3,Light_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,1.1,,Right_turn,No_action,No,Head_on,Front_to_side,Vehicle,Middle_vehicle,2,Failure_to_yield,Front_left_bumper,Front_right_bumper,Property_damage_only,idk,n,,,,,,
saved_crash_000016,saved_av_dataset,crash,16,ayJwRebjSZ4,https://youtu.be/ayJwRebjSZ4,ayJwRebjSZ4.mp4,,,5:38-5:57,338.0,357.0,347.5,347.5,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Rural,metadata_only,,https://youtu.be/ayJwRebjSZ4,5:38-5:57,france,Dark_not_lighted,Clear,Dry,Rural_road,Flat,1,Light_traffic,Small_vehicle,ADAS,Making_left_turn,other,,,No_action,No_action,Yes,other,other,Infrastructure,other,1,Failure_to_yield,Left_front_fender,other,Property_damage_only,23000,n,,,,,,
saved_crash_000017,saved_av_dataset,crash,17,ayJwRebjSZ4,https://youtu.be/ayJwRebjSZ4,ayJwRebjSZ4.mp4,,,9:51-10:07,591.0,607.0,599.0,599.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/ayJwRebjSZ4,9:51-10:07,north carolina,Daylight,Clear,Dry,other,Flat,1,Moderate_traffic,Small_vehicle,ADAS,Stopped,Backing,,,No_action,No_action,No,other,Rear_to_side,Vehicle,Small_vehicle,2,Backing_without_caution,Left_front_fender,Rear_left_bumper,Property_damage_only,7816.03,n,,,,,,
saved_crash_000018,saved_av_dataset,crash,18,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,1:02-1:14,62.0,74.0,68.0,68.0,,collision,collision,collision,collision_or_near_miss,Normal,Cloudy,Other,metadata_only,,https://youtu.be/PKHfruXYmVY,1:02-1:14,canada,Daylight,Cloudy,Dry,Highway/Freeway,Flat,3,Congested,Middle_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,2,No_action,Right_turn,No,Rear_end,Front_to_rear,Vehicle,Small_vehicle,3,Following_too_closely,Rear_center_bumper,Front_left_bumper,Property_damage_only,35000,n,,,,,,
saved_crash_000019,saved_av_dataset,crash,19,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,2:46-3:02,166.0,182.0,174.0,174.0,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Urban,metadata_only,,https://youtu.be/PKHfruXYmVY,2:46-3:02,canada,Dark_lighted,Clear,Snow_ice,Signalized_intersection,Flat,2,Light_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,Head_on,Front_to_side,Vehicle,Middle_vehicle,2,Running_red_light,Front_center_bumper,Left_rear_door,Property_damage_only,67000,n,,,,,,
saved_crash_000020,saved_av_dataset,crash,20,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,4:43-5:12,283.0,312.0,297.5,297.5,,collision,collision,collision,collision_or_near_miss,Normal,Cloudy,Other,metadata_only,,https://youtu.be/PKHfruXYmVY,4:43-5:12,canada,Daylight,Cloudy,Snow_ice,Highway/Freeway,Flat,3,Moderate_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,other,other,Vehicle,Big_vehicle,1,other,Windshield,other,Property_damage_only,1800,n,,,,,,
saved_crash_000021,saved_av_dataset,crash,21,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,5:53-6:08,353.0,368.0,360.5,360.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Urban,metadata_only,,https://youtu.be/PKHfruXYmVY,5:53-6:08,canada,Daylight,Clear,Dry,nonSignalized_intersection,Flat,2,Light_traffic,Small_vehicle,ADAS,Proceeding_straight,Making_left_turn,,,No_action,No_action,No,Left_turn,Front_to_side,Vehicle,Small_vehicle,2,Failure_to_yield,Front_right_bumper,Right_front_door,Property_damage_only,46000,n,,,,,,
saved_crash_000022,saved_av_dataset,crash,22,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,8:27-8:46,507.0,526.0,516.5,516.5,,collision,collision,collision,collision_or_near_miss,Normal,Snow,Urban,metadata_only,,https://youtu.be/PKHfruXYmVY,8:27-8:46,canada,Daylight,Snow,Snow_ice,Signalized_intersection,Flat,1,Moderate_traffic,Middle_vehicle,ADAS,Stopped,Proceeding_straight,,1.6,No_action,Left_turn,No,Rear_end,Front_to_rear,Vehicle,Middle_vehicle,2,Slippery_road,Rear_left_bumper,Front_right_bumper,Property_damage_only,10000,n,,,,,,
saved_crash_000023,saved_av_dataset,crash,23,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,10:18-10:25,618.0,625.0,621.5,621.5,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Other,metadata_only,,https://youtu.be/PKHfruXYmVY,10:18-10:25,canada,Dark_lighted,Clear,Dry,Parking_lot,Flat,1,Moderate_traffic,Small_vehicle,ADAS,Backing,other,,,No_action,No_action,Yes,other,other,Infrastructure,other,1,Backing_without_caution,Rear_right_bumper,other,Property_damage_only,idk,parking lot,,,,,,
saved_crash_000024,saved_av_dataset,crash,24,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,11:52-12:05,712.0,725.0,718.5,718.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Urban,metadata_only,,https://youtu.be/PKHfruXYmVY,11:52-12:05,canada,Daylight,Clear,Dry,Signalized_intersection,Flat,2,Congested,Middle_vehicle,ADAS+,Stopped,Proceeding_straight,,,No_action,No_action,No,Rear_end,Front_to_rear,Vehicle,Small_vehicle,3,Following_too_closely,Rear_center_bumper,Front_center_bumper,Property_damage_only,8000,n,,,,,,
saved_crash_000025,saved_av_dataset,crash,25,PKHfruXYmVY,https://youtu.be/PKHfruXYmVY,PKHfruXYmVY.mp4,,,13:31-13:59,811.0,839.0,825.0,825.0,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Urban,metadata_only,,https://youtu.be/PKHfruXYmVY,13:31-13:59,canada,Dark_lighted,Clear,Dry,Signalized_intersection,Flat,2,Light_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,Head_on,Front_to_side,Vehicle,Small_vehicle,2,Running_red_light,Rear_left_bumper,Front_right_bumper,Property_damage_only,total,n,,,,,,
saved_crash_000026,saved_av_dataset,crash,26,1pZZPvgmas0,https://youtu.be/1pZZPvgmas0,1pZZPvgmas0.mp4,,,0:01-0:23,1.0,23.0,12.0,12.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/1pZZPvgmas0,0:01-0:23,california,Daylight,Clear,Dry,Workzone,Flat,1,Congested,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,6.366666667,,Decelerating,No_action,Both_at_fault,Rear_end,Front_to_rear,Vehicle,Middle_vehicle,4,Following_too_closely,Rear_center_bumper,Front_center_bumper,Minor_injury,total,n,,,,,,
saved_crash_000027,saved_av_dataset,crash,27,1pZZPvgmas0,https://youtu.be/1pZZPvgmas0,1pZZPvgmas0.mp4,,,1:23-2:02,83.0,122.0,102.5,102.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/1pZZPvgmas0,1:23-2:02,Florida,Daylight,Clear,Dry,Parking_lot,Flat,1,Moderate_traffic,N/A,parking_recording,Parked,Parked,,,No_action,No_action,No,other,other,Vehicle,Middle_vehicle,1,other,Left_front_door,other,Property_damage_only,5000,parking lot,,,,,,
saved_crash_000028,saved_av_dataset,crash,28,1pZZPvgmas0,https://youtu.be/1pZZPvgmas0,1pZZPvgmas0.mp4,,,4:12-4:24,252.0,264.0,258.0,258.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/1pZZPvgmas0,4:12-4:24,canada,Daylight,Clear,Snow_ice,Highway/Freeway,Flat,5,Moderate_traffic,N/A,ADAS,Proceeding_straight,other,,,No_action,No_action,No,Head_on,Front_to_front,Vehicle,Small_vehicle,2,Slippery_road,Front_center_bumper,Front_center_bumper,Minor_injury,idk,n,,,,,,
saved_crash_000029,saved_av_dataset,crash,29,1pZZPvgmas0,https://youtu.be/1pZZPvgmas0,1pZZPvgmas0.mp4,,,4:44-5:00,284.0,300.0,292.0,292.0,,collision,collision,collision,collision_or_near_miss,Normal,Cloudy,Other,metadata_only,,https://youtu.be/1pZZPvgmas0,4:44-5:00,utah,Daylight,Cloudy,Wet,Road_segement,Flat,1,Moderate_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,Both_at_fault,Rear_end,Rear_to_rear,Bicycle,Small_vehicle,2,Following_too_closely,Rear_center_bumper,Front_center_bumper,Minor_injury,9000,n,,,,,,
saved_crash_000030,saved_av_dataset,crash,30,1pZZPvgmas0,https://youtu.be/1pZZPvgmas0,1pZZPvgmas0.mp4,,,7:02-7:20,422.0,440.0,431.0,431.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Urban,metadata_only,,https://youtu.be/1pZZPvgmas0,7:02-7:20,secret,Daylight,Clear,Dry,Signalized_intersection,Flat,2,Red_light_stopped,N/A,ADAS,Stopped,Proceeding_straight,,,No_action,No_action,No,Rear_end,Front_to_rear,Vehicle,Middle_vehicle,2,Following_too_closely,Rear_right_bumper,Front_center_bumper,Property_damage_only,idk,n,,,,,,
saved_crash_000031,saved_av_dataset,crash,31,1pZZPvgmas0,https://youtu.be/1pZZPvgmas0,1pZZPvgmas0.mp4,,,12:35-12:45,755.0,765.0,760.0,760.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/1pZZPvgmas0,12:35-12:45,mississippi,Daylight,Clear,Dry,other,Flat,1,Moderate_traffic,N/A,parking_recording,Parked,Backing,,,No_action,No_action,No,other,Rear_to_rear,Vehicle,Middle_vehicle,2,Backing_without_caution,Rear_center_bumper,Rear_center_bumper,Property_damage_only,idk,n,,,,,,
saved_crash_000032,saved_av_dataset,crash,32,O8zvM-DPifw,https://youtu.be/O8zvM-DPifw,O8zvM-DPifw.mp4,,,1:42-1:58,102.0,118.0,110.0,110.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/O8zvM-DPifw,1:42-1:58,austrlaia,Daylight,Clear,Dry,Road_segement,Flat,1,Moderate_traffic,Middle_vehicle,ADAS,Making_right_turn,other,,,No_action,No_action,Yes,other,other,Infrastructure,other,1,Failure_to_yield,Rear_left_bumper,other,Property_damage_only,total,n,,,,,,
saved_crash_000033,saved_av_dataset,crash,33,O8zvM-DPifw,https://youtu.be/O8zvM-DPifw,O8zvM-DPifw.mp4,,,2:31-2:50,151.0,170.0,160.5,160.5,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Other,metadata_only,,https://youtu.be/O8zvM-DPifw,2:31-2:50,california,Dark_not_lighted,Clear,Dry,Road_segement,Flat,2,Light_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,2.966666667,,Left_turn,No_action,No,Off_road,Front_to_side,Vehicle,Small_vehicle,2,Wrong_way_driving,Right_rear_door,Overturn,Minor_injury,total,n,,,,,,
saved_crash_000034,saved_av_dataset,crash,34,O8zvM-DPifw,https://youtu.be/O8zvM-DPifw,O8zvM-DPifw.mp4,,,7:53-8:11,473.0,491.0,482.0,482.0,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Other,metadata_only,,https://youtu.be/O8zvM-DPifw,7:53-8:11,alabama,Dark_lighted,Clear,Dry,Road_segement,Flat,1,Light_traffic,N/A,parking_recording,Parked,Backing,,,No_action,No_action,No,other,Rear_to_side,Vehicle,Middle_vehicle,2,Backing_without_caution,Left_rear_fender,Rear_center_bumper,Property_damage_only,12000,n,,,,,,
saved_crash_000035,saved_av_dataset,crash,35,O8zvM-DPifw,https://youtu.be/O8zvM-DPifw,O8zvM-DPifw.mp4,,,11:38-12:00,698.0,720.0,709.0,709.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/O8zvM-DPifw,11:38-12:00,florida,Daylight,Clear,Dry,Highway/Freeway,Flat,2,Moderate_traffic,Middle_vehicle,ADAS+,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,other,other,Vehicle,Big_vehicle,2,other,Right_front_door,other,Property_damage_only,idk,n,,,,,,
saved_crash_000036,saved_av_dataset,crash,36,mzgvgvqh2QE,https://youtu.be/mzgvgvqh2QE,mzgvgvqh2QE.mp4,,,0:01-0:16,1.0,16.0,8.5,8.5,,collision,collision,collision,collision_or_near_miss,Normal,Cloudy,Rural,metadata_only,,https://youtu.be/mzgvgvqh2QE,0:01-0:16,south carolina,Daylight,Cloudy,Dry,Rural_road,Down,1,Moderate_traffic,Middle_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,Off_road,Sideswipe_opposite_direction,Vehicle,Middle_vehicle,2,Wrong_way_driving,Left_front_fender,Front_left_bumper,Minor_injury,idk,n,,,,,,
saved_crash_000037,saved_av_dataset,crash,37,mzgvgvqh2QE,https://youtu.be/mzgvgvqh2QE,mzgvgvqh2QE.mp4,,,1:17-1:34,77.0,94.0,85.5,85.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Urban,metadata_only,,https://youtu.be/mzgvgvqh2QE,1:17-1:34,mississippi,Daylight,Clear,Dry,nonSignalized_intersection,Down,2,Moderate_traffic,N/A,ADAS,Proceeding_straight,Making_left_turn,1.466666667,,Left_turn,No_action,No,Angle,Front_to_side,Vehicle,Middle_vehicle,2,Failure_to_yield,Front_center_bumper,Front_left_bumper,Minor_injury,total,n,,,,,,
saved_crash_000038,saved_av_dataset,crash,38,mzgvgvqh2QE,https://youtu.be/mzgvgvqh2QE,mzgvgvqh2QE.mp4,,,09:17-09:34,557.0,574.0,565.5,565.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://youtu.be/mzgvgvqh2QE,09:17-09:34,florida,Daylight,Clear,Dry,Highway/Freeway,Flat,4,Moderate_traffic,N/A,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,other,other,Vehicle,Middle_vehicle,2,other,Front_left_bumper,other,Property_damage_only,n,n,,,,,,
saved_crash_000039,saved_av_dataset,crash,39,HD0dz8G-2sM,https://youtu.be/HD0dz8G-2sM,HD0dz8G-2sM.mp4,,,00:15-00:41,15.0,41.0,28.0,28.0,,collision,collision,collision,collision_or_near_miss,Normal,Cloudy,Urban,metadata_only,,https://youtu.be/HD0dz8G-2sM,00:15-00:41,california,Daylight,Cloudy,Dry,Signalized_intersection,Up,3,Moderate_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,Head_on,Front_to_front,Vehicle,Middle_vehicle,3,Running_red_light,Front_center_bumper,Front_center_bumper,Minor_injury,total,n,,,,,,
